krzywa;tenor;data konstrukcji krzywej;data zapadalności;stopa zerokuponowa;czynnik dyskontowy
discount_EUR;ON;17/02/2023;20/02/2023;2.3997600320;0.9998000400
discount_EUR;TN;17/02/2023;21/02/2023;2.3998000250;0.9997333911
discount_EUR;SN;17/02/2023;22/02/2023;2.3998240210;0.9996667466
discount_EUR;1W;17/02/2023;28/02/2023;2.3995710290;0.9992670665
discount_EUR;2W;17/02/2023;07/03/2023;2.3990849920;0.9988011767
discount_EUR;3W;17/02/2023;14/03/2023;2.3993969450;0.9983351395
discount_EUR;1M;17/02/2023;21/03/2023;2.3997641770;0.9978691498
discount_EUR;2M;17/02/2023;21/04/2023;2.6324704810;0.9954037718
discount_EUR;3M;17/02/2023;22/05/2023;2.7612703080;0.9928159460
discount_EUR;4M;17/02/2023;21/06/2023;2.8751791310;0.9901454823
discount_EUR;5M;17/02/2023;21/07/2023;2.9913088690;0.9872853681
discount_EUR;6M;17/02/2023;21/08/2023;3.0826600140;0.9842833685
discount_EUR;7M;17/02/2023;21/09/2023;3.1549919900;0.9812480944
discount_EUR;8M;17/02/2023;23/10/2023;3.2140921960;0.9781018004
discount_EUR;9M;17/02/2023;21/11/2023;3.2556253660;0.9752609249
discount_EUR;10M;17/02/2023;21/12/2023;3.2899451140;0.9723339916
discount_EUR;11M;17/02/2023;22/01/2024;3.3179403750;0.9692391095
discount_EUR;1Y;17/02/2023;21/02/2024;3.3382258840;0.9663619599
discount_EUR;15M;17/02/2023;21/05/2024;3.3612939990;0.9580488617
discount_EUR;18M;17/02/2023;21/08/2024;3.3437676170;0.9501093260
discount_EUR;21M;17/02/2023;21/11/2024;3.3076781790;0.9426324797
discount_EUR;2Y;17/02/2023;21/02/2025;3.2621063010;0.9355681034
discount_EUR;3Y;17/02/2023;23/02/2026;3.0779217070;0.9100837931
discount_EUR;4Y;17/02/2023;22/02/2027;2.9418090000;0.8871005000
discount_EUR;5Y;17/02/2023;21/02/2028;2.8562145350;0.8648571713
discount_EUR;6Y;17/02/2023;21/02/2029;2.8015233130;0.8429118259
discount_EUR;7Y;17/02/2023;21/02/2030;2.7679944230;0.8212628621
discount_EUR;8Y;17/02/2023;21/02/2031;2.7561532040;0.7993039379
discount_EUR;9Y;17/02/2023;23/02/2032;2.7578609590;0.7770367204
discount_EUR;10Y;17/02/2023;21/02/2033;2.7647512590;0.7551395981
discount_EUR;11Y;17/02/2023;21/02/2034;2.7781246100;0.7331695787
discount_EUR;12Y;17/02/2023;21/02/2035;2.7913902580;0.7116550834
discount_EUR;13Y;17/02/2023;21/02/2036;2.7949686040;0.6914697629
discount_EUR;14Y;17/02/2023;23/02/2037;2.7984940410;0.6716566266
discount_EUR;15Y;17/02/2023;22/02/2038;2.8019745740;0.6525717874
discount_EUR;16Y;17/02/2023;21/02/2039;2.7776441900;0.6368552621
discount_EUR;17Y;17/02/2023;21/02/2040;2.7532078410;0.6217869391
discount_EUR;18Y;17/02/2023;21/02/2041;2.7286431770;0.6073442346
discount_EUR;19Y;17/02/2023;21/02/2042;2.7040769840;0.5935781454
discount_EUR;20Y;17/02/2023;23/02/2043;2.6792807940;0.5803538504
discount_EUR;25Y;17/02/2023;21/02/2048;2.5091675460;0.5290346942
discount_EUR;30Y;17/02/2023;21/02/2053;2.3573543690;0.4878172625
