krzywa;tenor;data konstrukcji krzywej;data zapadalności;stopa zerokuponowa;czynnik dyskontowy
discount_PLN;ON;17/02/2023;20/02/2023;7.7089623940;0.9993665873
discount_PLN;TN;17/02/2023;21/02/2023;7.5870219330;0.9991688911
discount_PLN;SN;17/02/2023;22/02/2023;7.5123305000;0.9989714430
discount_PLN;1W;17/02/2023;28/02/2023;7.4043925510;0.9977710271
discount_PLN;2W;17/02/2023;07/03/2023;7.5623189260;0.9962775827
discount_PLN;3W;17/02/2023;14/03/2023;7.4958623740;0.9948790049
discount_PLN;1M;17/02/2023;21/03/2023;7.5471757800;0.9934051401
discount_PLN;2M;17/02/2023;21/04/2023;7.4854974380;0.9871629335
discount_PLN;3M;17/02/2023;22/05/2023;7.4775338830;0.9809270250
discount_PLN;4M;17/02/2023;21/06/2023;7.3999569070;0.9751737881
discount_PLN;5M;17/02/2023;21/07/2023;7.3974503060;0.9692708800
discount_PLN;6M;17/02/2023;21/08/2023;7.4046963890;0.9631648934
discount_PLN;7M;17/02/2023;21/09/2023;7.4102986650;0.9570949020
discount_PLN;8M;17/02/2023;23/10/2023;7.4164533410;0.9508573339
discount_PLN;9M;17/02/2023;21/11/2023;7.4193119280;0.9452503527
discount_PLN;10M;17/02/2023;21/12/2023;7.4961377950;0.9388968028
discount_PLN;11M;17/02/2023;22/01/2024;7.5595017860;0.9321978818
discount_PLN;1Y;17/02/2023;21/02/2024;7.6059403930;0.9259889924
discount_PLN;15M;17/02/2023;21/05/2024;7.4557414640;0.9105026200
discount_PLN;18M;17/02/2023;21/08/2024;7.3145437500;0.8954583662
discount_PLN;21M;17/02/2023;21/11/2024;7.1859300510;0.8810944124
discount_PLN;2Y;17/02/2023;21/02/2025;7.0538754260;0.8675832617
discount_PLN;3Y;17/02/2023;23/02/2026;6.5151101340;0.8214347462
discount_PLN;4Y;17/02/2023;22/02/2027;6.3246553650;0.7756717243
discount_PLN;5Y;17/02/2023;21/02/2028;6.2597894930;0.7306308207
discount_PLN;6Y;17/02/2023;21/02/2029;6.2147435050;0.6880414389
discount_PLN;7Y;17/02/2023;21/02/2030;6.1908842540;0.6476663693
discount_PLN;8Y;17/02/2023;21/02/2031;6.1911498690;0.6087730671
discount_PLN;9Y;17/02/2023;23/02/2032;6.1895231520;0.5721158967
discount_PLN;10Y;17/02/2023;21/02/2033;6.2011660410;0.5372424112
discount_PLN;11Y;17/02/2023;21/02/2034;6.2265062360;0.5035310953
discount_PLN;12Y;17/02/2023;21/02/2035;6.2581236740;0.4713402583
discount_PLN;13Y;17/02/2023;21/02/2036;6.3123050080;0.4396350931
discount_PLN;14Y;17/02/2023;23/02/2037;6.3766585350;0.4088204468
discount_PLN;15Y;17/02/2023;22/02/2038;6.4600859000;0.3788534656
discount_PLN;16Y;17/02/2023;21/02/2039;6.4968896360;0.3531274223
discount_PLN;17Y;17/02/2023;21/02/2040;6.5476406370;0.3280681205
discount_PLN;18Y;17/02/2023;21/02/2041;6.6122237650;0.3036648390
discount_PLN;19Y;17/02/2023;21/02/2042;6.6890112390;0.2801131975
discount_PLN;20Y;17/02/2023;23/02/2043;6.7716650330;0.2575931743
discount_PLN;25Y;17/02/2023;21/02/2048;6.7878902830;0.1828969743
discount_PLN;30Y;17/02/2023;21/02/2053;6.8190159470;0.1289995127
