krzywa;tenor;data konstrukcji krzywej;data zapadalności;stopa zerokuponowa;czynnik dyskontowy
forward_EUR;ON;17/02/2023;20/02/2023;2.6667036740;0.9997777994
forward_EUR;TN;17/02/2023;21/02/2023;2.6667530590;0.9997037380
forward_EUR;SN;17/02/2023;22/02/2023;2.6667826900;0.9996296821
forward_EUR;1W;17/02/2023;28/02/2023;2.6664702900;0.9991855770
forward_EUR;2W;17/02/2023;07/03/2023;2.6658701530;0.9986679529
forward_EUR;3W;17/02/2023;14/03/2023;2.6652196370;0.9981508648
forward_EUR;1M;17/02/2023;21/03/2023;2.6645521160;0.9976343119
forward_EUR;2M;17/02/2023;21/04/2023;2.6615416290;0.9953531324
forward_EUR;3M;17/02/2023;22/05/2023;2.6585143770;0.9930823614
forward_EUR;4M;17/02/2023;21/06/2023;2.9130429900;0.9900163560
forward_EUR;5M;17/02/2023;21/07/2023;3.0031797120;0.9872352342
forward_EUR;6M;17/02/2023;21/08/2023;3.1116650470;0.9841366684
forward_EUR;7M;17/02/2023;21/09/2023;3.1889181470;0.9810483748
forward_EUR;8M;17/02/2023;23/10/2023;3.2185144360;0.9780720036
forward_EUR;9M;17/02/2023;21/11/2023;3.2680600450;0.9751676184
forward_EUR;10M;17/02/2023;21/12/2023;3.3370764340;0.9719432643
forward_EUR;11M;17/02/2023;22/01/2024;3.3317104380;0.9691134382
forward_EUR;1Y;17/02/2023;21/02/2024;3.3491869770;0.9662533940
forward_EUR;15M;17/02/2023;21/05/2024;3.3886009810;0.9577153616
forward_EUR;18M;17/02/2023;21/08/2024;3.3835826530;0.9495305141
forward_EUR;21M;17/02/2023;21/11/2024;3.3659548060;0.9416518179
forward_EUR;2Y;17/02/2023;21/02/2025;3.3287791680;0.9342954392
forward_EUR;27M;17/02/2023;21/05/2025;3.2905990340;0.9274483664
forward_EUR;30M;17/02/2023;21/08/2025;3.2512803050;0.9206024180
forward_EUR;33M;17/02/2023;21/11/2025;3.2117773160;0.9139953776
forward_EUR;3Y;17/02/2023;23/02/2026;3.1711590750;0.9074900267
forward_EUR;39M;17/02/2023;21/05/2026;3.1422217710;0.9014230458
forward_EUR;42M;17/02/2023;21/08/2026;3.1118075490;0.8951817710
forward_EUR;45M;17/02/2023;23/11/2026;3.0806633990;0.8889945028
forward_EUR;4Y;17/02/2023;22/02/2027;3.0503703020;0.8831874111
forward_EUR;51M;17/02/2023;21/05/2027;3.0317440020;0.8773315720
forward_EUR;54M;17/02/2023;23/08/2027;3.0120230650;0.8711999868
forward_EUR;57M;17/02/2023;22/11/2027;2.9929045460;0.8653909431
forward_EUR;5Y;17/02/2023;21/02/2028;2.9736952640;0.8597076902
forward_EUR;63M;17/02/2023;22/05/2028;2.9617895550;0.8538118876
forward_EUR;66M;17/02/2023;21/08/2028;2.9500330180;0.8480004881
forward_EUR;69M;17/02/2023;21/11/2028;2.9381357840;0.8422168860
forward_EUR;6Y;17/02/2023;21/02/2029;2.9261701160;0.8365270875
forward_EUR;75M;17/02/2023;21/05/2029;2.9195890870;0.8308443490
forward_EUR;78M;17/02/2023;21/08/2029;2.9129182450;0.8250316592
forward_EUR;81M;17/02/2023;21/11/2029;2.9062408970;0.8192879348
forward_EUR;7Y;17/02/2023;21/02/2030;2.8995070490;0.8136152344
forward_EUR;87M;17/02/2023;21/05/2030;2.8980087200;0.8078930106
forward_EUR;90M;17/02/2023;21/08/2030;2.8965816750;0.8020190078
forward_EUR;93M;17/02/2023;21/11/2030;2.8951521010;0.7961936793
forward_EUR;8Y;17/02/2023;21/02/2031;2.8936747150;0.7904195090
forward_EUR;99M;17/02/2023;21/05/2031;2.8951719260;0.7846867787
forward_EUR;102;17/02/2023;21/08/2031;2.8968350650;0.7787906902
forward_EUR;105;17/02/2023;21/11/2031;2.8984990510;0.7729322759
forward_EUR;9Y;17/02/2023;23/02/2032;2.9001587360;0.7669881217
forward_EUR;111;17/02/2023;21/05/2032;2.9026879200;0.7613890825
forward_EUR;114;17/02/2023;23/08/2032;2.9055112400;0.7554342396
forward_EUR;117;17/02/2023;22/11/2032;2.9082467340;0.7497031162
forward_EUR;10Y;17/02/2023;21/02/2033;2.9109463710;0.7440078929
forward_EUR;11Y;17/02/2023;21/02/2034;2.9290530620;0.7209104751
forward_EUR;12Y;17/02/2023;21/02/2035;2.9425670140;0.6986645961
forward_EUR;13Y;17/02/2023;21/02/2036;2.9515568660;0.6773240219
forward_EUR;14Y;17/02/2023;23/02/2037;2.9535172820;0.6570101634
forward_EUR;15Y;17/02/2023;22/02/2038;2.9459808400;0.6384122265
forward_EUR;16Y;17/02/2023;21/02/2039;2.9278825650;0.6215006907
forward_EUR;17Y;17/02/2023;21/02/2040;2.9018270540;0.6060413956
forward_EUR;18Y;17/02/2023;21/02/2041;2.8691099140;0.5919519359
forward_EUR;19Y;17/02/2023;21/02/2042;2.8330442180;0.5789942390
forward_EUR;20Y;17/02/2023;23/02/2043;2.7937404140;0.5670191987
forward_EUR;25Y;17/02/2023;21/02/2048;2.5926317790;0.5179480590
forward_EUR;30Y;17/02/2023;21/02/2053;2.4142143570;0.4794439559
